#Print pi voor verschillende N met random sampling.
pi	N
3.200000	10
3.600000	10
2.800000	10
3.600000	10
3.200000	10
2.800000	10
3.600000	10
2.400000	10
3.200000	10
4.000000	10
3.200000	10
2.800000	10
3.200000	10
3.200000	10
3.600000	10
2.800000	10
3.200000	10
1.600000	10
3.200000	10
3.200000	10
3.320000	100
2.960000	100
3.280000	100
3.120000	100
3.280000	100
3.480000	100
2.920000	100
3.000000	100
3.120000	100
3.200000	100
2.800000	100
3.040000	100
3.080000	100
3.040000	100
3.040000	100
3.400000	100
3.200000	100
3.280000	100
3.120000	100
3.080000	100
3.156000	1000
3.124000	1000
3.092000	1000
3.108000	1000
3.124000	1000
3.000000	1000
3.068000	1000
3.096000	1000
3.128000	1000
3.232000	1000
3.132000	1000
3.120000	1000
3.168000	1000
3.088000	1000
3.236000	1000
3.152000	1000
3.048000	1000
3.044000	1000
3.164000	1000
3.124000	1000
3.126400	10000
3.164000	10000
3.149200	10000
3.166000	10000
3.119200	10000
3.149200	10000
3.144800	10000
3.113200	10000
3.144800	10000
3.144000	10000
3.167600	10000
3.124400	10000
3.134400	10000
3.125600	10000
3.151200	10000
3.126000	10000
3.122800	10000
3.140400	10000
3.136400	10000
3.145200	10000
