#Print pi voor verschillende delta met Markov-Chain Sampling. Aantal stappen = 1000000
pi	delta	rejects
3.150268	0.250000	120389
3.143268	0.250000	120645
3.142956	0.250000	121303
3.141764	0.250000	121614
3.143340	0.250000	120478
3.136164	0.250000	121776
3.150868	0.250000	121101
3.139184	0.250000	121593
3.146200	0.250000	120537
3.141528	0.250000	121176
3.136672	0.250000	121602
3.139936	0.250000	120805
3.149512	0.250000	120580
3.145000	0.250000	120748
3.138160	0.250000	122155
3.151184	0.250000	119227
3.147516	0.250000	120663
3.141068	0.250000	121261
3.128200	0.250000	122665
3.145636	0.250000	119780
3.138160	0.750000	339678
3.142408	0.750000	339937
3.140792	0.750000	340003
3.146444	0.750000	340027
3.138460	0.750000	340195
3.138440	0.750000	341113
3.141552	0.750000	339391
3.138476	0.750000	340253
3.136004	0.750000	340818
3.140056	0.750000	340022
3.142560	0.750000	340104
3.139280	0.750000	339711
3.138288	0.750000	340155
3.144444	0.750000	339951
3.135560	0.750000	339917
3.139700	0.750000	340185
3.138876	0.750000	340896
3.136196	0.750000	340588
3.141836	0.750000	339119
3.141400	0.750000	339344
3.142476	1.250000	527607
3.134944	1.250000	527177
3.140100	1.250000	527835
3.138052	1.250000	527500
3.149480	1.250000	526964
3.137520	1.250000	527992
3.140080	1.250000	528573
3.141188	1.250000	528154
3.140552	1.250000	528163
3.143020	1.250000	526740
3.136416	1.250000	528684
3.136956	1.250000	528114
3.140060	1.250000	526859
3.132148	1.250000	528425
3.144704	1.250000	527536
3.139752	1.250000	526623
3.140376	1.250000	527470
3.144896	1.250000	526549
3.136600	1.250000	526427
3.141812	1.250000	527217
3.145372	1.750000	683100
3.141128	1.750000	684645
3.142296	1.750000	683884
3.143076	1.750000	683193
3.142616	1.750000	684008
3.144556	1.750000	683041
3.143208	1.750000	684069
3.151032	1.750000	683104
3.138828	1.750000	683153
3.150468	1.750000	683775
3.142836	1.750000	684127
3.141224	1.750000	683648
3.140284	1.750000	684449
3.142032	1.750000	683783
3.138824	1.750000	684229
3.134008	1.750000	683493
3.139672	1.750000	684145
3.141448	1.750000	683699
3.137696	1.750000	682852
3.136264	1.750000	683044
3.138440	2.250000	802143
3.144804	2.250000	803042
3.139520	2.250000	802287
3.141756	2.250000	802121
3.143644	2.250000	803323
3.144712	2.250000	802656
3.137612	2.250000	802244
3.138944	2.250000	802853
3.145992	2.250000	803261
3.139328	2.250000	802327
3.139500	2.250000	802241
3.142724	2.250000	801893
3.144080	2.250000	803074
3.140980	2.250000	801657
3.147512	2.250000	802811
3.138568	2.250000	802513
3.147748	2.250000	802549
3.133544	2.250000	802159
3.149084	2.250000	802571
3.144732	2.250000	802326
3.141184	2.750000	867678
3.149084	2.750000	868029
3.149780	2.750000	867521
3.131076	2.750000	868204
3.157052	2.750000	867915
3.132452	2.750000	867405
3.144724	2.750000	867974
3.146212	2.750000	867500
3.138476	2.750000	868032
3.144024	2.750000	867714
3.138952	2.750000	867866
3.141044	2.750000	867663
3.131548	2.750000	868112
3.143848	2.750000	867511
3.131084	2.750000	868425
3.130944	2.750000	867667
3.147024	2.750000	868213
3.146300	2.750000	868141
3.134260	2.750000	868228
3.132936	2.750000	867187
3.145472	3.250000	905191
3.146016	3.250000	905100
3.142252	3.250000	905243
3.144716	3.250000	905409
3.132120	3.250000	905695
3.154436	3.250000	904965
3.129700	3.250000	905576
3.135732	3.250000	905181
3.144616	3.250000	905581
3.145988	3.250000	905650
3.135844	3.250000	905189
3.146496	3.250000	905186
3.151564	3.250000	905491
3.152448	3.250000	905196
3.136696	3.250000	905226
3.130636	3.250000	905573
3.143708	3.250000	904947
3.146292	3.250000	905068
3.139984	3.250000	905797
3.141008	3.250000	904744
3.123608	3.750000	928971
3.144700	3.750000	928663
3.141964	3.750000	928837
3.140368	3.750000	929043
3.142796	3.750000	928796
3.146704	3.750000	928625
3.145064	3.750000	928888
3.146932	3.750000	928535
3.149400	3.750000	928623
3.145396	3.750000	928917
3.137408	3.750000	928978
3.153208	3.750000	928670
3.150392	3.750000	928759
3.139172	3.750000	929216
3.137464	3.750000	929070
3.139032	3.750000	929232
3.134304	3.750000	928702
3.138924	3.750000	929075
3.156428	3.750000	928978
3.138464	3.750000	929486
3.137080	4.250000	944551
3.139644	4.250000	944702
3.132332	4.250000	945129
3.136024	4.250000	944281
3.144876	4.250000	944561
3.145488	4.250000	944860
3.144276	4.250000	944718
3.143816	4.250000	944903
3.145348	4.250000	944269
3.143720	4.250000	944591
3.136308	4.250000	944566
3.138888	4.250000	944826
3.160600	4.250000	944707
3.127364	4.250000	945041
3.149880	4.250000	944515
3.145288	4.250000	944491
3.125840	4.250000	945002
3.156072	4.250000	944639
3.162084	4.250000	944637
3.123860	4.250000	944982
3.157668	4.750000	955604
3.140232	4.750000	955724
3.141492	4.750000	956005
3.126432	4.750000	955968
3.138164	4.750000	955734
3.113788	4.750000	955398
3.143860	4.750000	955832
3.145752	4.750000	955695
3.134928	4.750000	955575
3.142932	4.750000	955876
3.133576	4.750000	955636
3.152608	4.750000	955669
3.153844	4.750000	955472
3.148652	4.750000	955559
3.155416	4.750000	955639
3.161468	4.750000	955616
3.148312	4.750000	955522
3.140096	4.750000	955390
3.130488	4.750000	956074
3.126616	4.750000	955615
3.152020	5.250000	963678
3.132544	5.250000	963893
3.148196	5.250000	963697
3.160260	5.250000	963713
3.136584	5.250000	963622
